Name,Country,Exchange,Description,Last Price,52 week range,Url
26 Capital Acquisition Corp.,US, Nasdaq," 26 Capital Acquisition Corp. operates as blank check company. It is a special purpose acquisition company which is incorporated for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company was founded on August 24th, 2020 and is headquartered in Miami, FL. ",10.24,9.8601 - 10.41,https://www.wsj.com/market-data/quotes/ADERU/company-people
24SevenOffice Group AB,US, OTC,,1.30,1.30 - 3.25,https://www.wsj.com/market-data/quotes/TFSVF/company-people
23andMe Holding Co.,US, Nasdaq," 23andMe Holding Co. is consumer genetics and research company, which engages to help people access, understand, and benefit from the human genome. It provides direct access to genetic information with multiple Food and Drug Administration authorizations for genetic health risk reports. The firm’s research platform has generated publications on the genetic underpinnings of a range of diseases, conditions, and traits. The platform also powers the 23andMe therapeutics group, pursuing drug discovery programs rooted in human genetics across a spectrum of disease areas, including oncology, respiratory, and cardiovascular diseases, in addition to other therapeutic areas. The company was founded by Anne E. Wojcickiin 2006 and is headquartered in Sunnyvale, CA. ",4.09,3.61 - 13.68,https://www.wsj.com/market-data/quotes/ME/company-people
24SevenOffice Scandinavia AB,Spotlight Stock Market,," 24SevenOffice Group AB engages in the development and sale of software as a service (SaaS) solutions. The firm offers enterprise resource planning through cloud-based services to small and medium sized enterprises. Its solutions include project and time management, mobile, accounting, customer relationship management, reporting, integrations, and payroll. The company was founded on August 2, 2017 and is headquartered in Stockholm, Sweden. ",12.05,,https://www.wsj.com/market-data/quotes/SE/XSAT/247/company-people
22nd Century Group Inc.,US, Nasdaq," 22nd Century Group, Inc. is a biotechnology company, which develops disruptive plant-based solutions for life science, consumer product, and pharmaceutical markets. It focuses on technologies that alter the level of nicotine in tobacco plants and level of cannabinoids in hemp or cannabis plants through genetic engineering, gene-editing, and modern plant breeding techniques. The company was founded on September 12, 2005 and is headquartered in Buffalo, NY. ",2.315,1.86 - 6.07,https://www.wsj.com/market-data/quotes/XXII/company-people
21LADY Co. Ltd.,Nagoya Stock Exchange,," 21Lady Co., Ltd. operates a chain of retail stores. It operates through the following segments: Hirota, Illums and Others. The Hirota segment manufactures and sells confectioneries and ice creams. The Illums segment plans, develops, and sells furniture and interior products. The Others segment includes real estate leasing services. The company was founded by Michiko Fujii on March 7, 2000 and is headquartered in Tokyo, Japan. ",129,60 - 184,https://www.wsj.com/market-data/quotes/JP/XNGO/3346/company-people
20 Microns Ltd.,India, Bombay," 20 Microns Ltd. engages in the manufacture of micronized minerals. The firm operates through Industrial Micronized Minerals and Specialty Chemicals segment. Its products include ground calcium carbonate; dolomite; hydrous kaolins; calcined kaolins; talcs; natural barytes; buff colored; synthetic barium sulphate; matting agents; and flame retardants. The company was founded by Chandresh Shantilal Parikh and Bhanu Patel on June 29, 1987 and is headquartered in Vadodara, India. ",73.20,29.25 - 108.25,https://www.wsj.com/market-data/quotes/IN/XBOM/533022/company-people
2020 Bulkers Ltd.,Norway, Oslo," 2020 Bulkers Ltd. engages in the operation of dry bulk carriers. It also provides freight transportation services. The company was founded on September 26, 2017 and is headquartered in Hamiltom, Bermuda. ",125.50,,https://www.wsj.com/market-data/quotes/NO/XOSL/2020/company-people
1stdibs.com Inc.,US, Nasdaq," 1stdibs.com, Inc. operates as an online marketplace for home decorations, fashion, and interior design. Its business units include 1stdibs and Design Manager. It offers vintage, antique, and contemporary furniture, home décor, jewelry, watches, art, and fashion. The company was founded by Michael Bruno and Laurence Forcione in 2000 and is headquartered in New York, NY. ",7.93,6.4901 - 35.46,https://www.wsj.com/market-data/quotes/DIBS/company-people
1st NRG Corp.,US, OTC,,0.0001,0.00 - 0.0009,https://www.wsj.com/market-data/quotes/FNRC/company-people
1st Colonial Bancorp Inc.,US, OTC," 1st Colonial Bancorp, Inc. is a holding company, which engages in the provision of business and consumer financial services. It offers personal banking, business banking, residential lending, and loan application such as commercial loan, consumer loan, home equity term loan, home equity line of credit application, and mortgage application. The company was founded on June 30, 2000 and is headquartered in Cherry Hill, NJ. ",11.6399,9.0801 - 11.75,https://www.wsj.com/market-data/quotes/FCOB/company-people
1st Group Ltd.,Australia, Sydney," 1st Group Ltd. engages in the provision of online healthcare search and appointment booking services. It provides integrated platforms for search and appointment booking service and offers a range of value added apps and services that facilitate digital patient and customer engagement. The company was founded in April 2012 by Klaus M. Bartosch and is headquartered in Surry Hills, Australia. ",0.009,0.009 - 0.036,https://www.wsj.com/market-data/quotes/AU/XASX/1ST/company-people
1st Capital Bancorp,US, OTC," 1st Capital Bank engages in the provision of financial services. Its business is attracting checking, money market, savings, and certificate of deposit accounts through its branch facilities, courier service, remote branch deposit, and various electronic means, and investing such deposits and other available funds into loans, including real estate mortgages, commercial business loans, and construction loans. It also offers fee-based services, including an array of cash management services. The company was founded on December 12, 2006 and is headquartered in Salinas, CA. ",15.25,12.70 - 15.90,https://www.wsj.com/market-data/quotes/FISB/company-people
1Spatial PLC,UK, London," 1Spatial Plc engages in the provision of information technology software. It operates through the following segments: Geospatial, Cloud Services, and Central Costs. The Geospatial segment represents the core business of the group which has entities in the United Kingdom, Ireland, France, Belgium, Australia, and U.S. The Cloud Services segment includes the Enables information technology business. The Central Costs segment comprises of group accounting function and marketing. The company was founded on April 20, 2005 and is headquartered in Guildford, the United Kingdom. ",37.00,34.10 - 54.90,https://www.wsj.com/market-data/quotes/UK/XLON/SPA/company-people
1st Source Corp.,US, Nasdaq," 1st Source Corp. operates as a bank holding company for 1st Source Bank. It provides financial products and services through its subsidiaries. The bank offers commercial & consumer banking services, trust & investment management services and insurance to individuals and businesses. The firm provides commercial, small business, agricultural and real estate loans, including financing for industrial & commercial properties, financing for equipment, inventories & accounts receivables and acquisition financing. It also provides trust, investment, agency and custodial services for individual, corporate and not-for-profit clients. The company was founded in 1971 and is headquartered in South Bend, IN. ",48.10,41.19 - 52.695,https://www.wsj.com/market-data/quotes/SRCE/company-people
1955 Inversiones S.A.,Spain, Madrid ,,10.674,10.30 - 12.00,https://www.wsj.com/market-data/quotes/ES/MABX/S0009/company-people
1933 Industries Inc.,US, OTC," 1933 Industries, Inc. is a vertically integrated cannabis company, which engages in the cultivation and production of medical marijuana. It operates through the following business segments: Medical, Recreational, and CBD-Infused Products. The Medical and Recreational business segments comprises of the operation, cultivation, production, and distribution of medical marijuana. The CBD-Infused Products segment covers the operations, design, and production of CBD-infused products. The company was founded on January 29, 2008 and is headquartered in Vancouver, Canada. ",0.0353,0.027 - 0.1035,https://www.wsj.com/market-data/quotes/TGIFF/company-people
1957 & Co. Hospitality Ltd.,Hong Kong,," 1957 & Co. (Hospitality) Ltd. is a holding company. It operates through the Operation of Restaurants; and Catering Management and Consultancy Services. The company was founded by Chi Tien Leung, Wing Kuen Kwan, and Chi Po Kwok on February 3, 2016 and is headquartered in Hong Kong. ",0.34,0.174 - 0.53,https://www.wsj.com/market-data/quotes/HK/XHKG/8495/company-people
1Life Healthcare Inc.,US, Nasdaq," 1Life Healthcare, Inc. engages in the provision of healthcare membership services. It offers walk-in immunizations and lab services, behavioral health, women's health, men’s health, LGBTQ+ care, pediatrics, sports medicine, lifestyle, and wellbeing programs. The company was founded by Thomas H. Lee on July 25, 2002 and is headquartered in San Francisco, CA. ",9.22,7.64 - 45.63,https://www.wsj.com/market-data/quotes/ONEM/company-people
1pm Industries Inc.,US, OTC," 1PM Industries, Inc. engages in the provision of consulting services to a wide variety of companies. It targets companies that are in the start-up phase of their operations, and intends to assist the companies by incubating them and then merging the company into a public company through a reverse merger. The company was founded on March 26, 1990 and is headquartered in Las Vegas, NV. ",0.00,0.00 - 0.0004,https://www.wsj.com/market-data/quotes/OPMZ/company-people
1933 Industries Inc.,Canadian Securities Exchange,," 1933 Industries, Inc. is a vertically integrated cannabis company, which engages in the cultivation and production of medical marijuana. It operates through the following business segments: Medical, Recreational, and CBD-Infused Products. The Medical and Recreational business segments comprises of the operation, cultivation, production, and distribution of medical marijuana. The CBD-Infused Products segment covers the operations, design, and production of CBD-infused products. The company was founded on January 29, 2008 and is headquartered in Vancouver, Canada. ",0.04,0.04 - 0.12,https://www.wsj.com/market-data/quotes/CA/XCNQ/TGIF/company-people
1911 Gold Corp.,Canada, TSX Venture," 1911 Gold Corp. engages in the acquisition, exploration, development, and extraction of precious metals. Its asset portfolio includes True North Complex, Rice Lake Exploration Properties, Timmins Exploration Properties, and Apex Exploration Property. The company was founded on May 3, 2018 and is headquartered in Vancouver, Canada. ",0.39,0.26 - 0.72,https://www.wsj.com/market-data/quotes/CA/XTSX/AUMB/company-people
1911 Gold Corp.,US, OTC," 1911 Gold Corp. engages in the acquisition, exploration, development, and extraction of precious metals. Its asset portfolio includes True North Complex, Rice Lake Exploration Properties, Timmins Exploration Properties, and Apex Exploration Property. The company was founded on May 3, 2018 and is headquartered in Vancouver, Canada. ",0.3003,0.205 - 0.59,https://www.wsj.com/market-data/quotes/AUMBF/company-people
1847 Goedeker Inc. Wt,US, NYSE American," 1847 Goedeker, Inc. operates as an online retailer. It provides home furnishings, including appliances, furniture, home goods, and related products. The company was founded in 1951 and is headquartered in Ballwin, MO. ",0.58,0.31 - 2.50,https://www.wsj.com/market-data/quotes/GOED.WT/company-people
1867 Western Financial Corp.,US, OTC,,"8,000.00","7,500.00 - 9,450.00",https://www.wsj.com/market-data/quotes/WFCL/company-people
1895 Bancorp of Wisconsin Inc.,US, Nasdaq," 1895 Bancorp of Wisconsin, Inc. is a holding company, which engages in the provision of banking and financial services through its subsidiary PyraMax Bank. It primarily offers residential and commercial real estate loans, commercial loans, and consumer loans. The company was founded on January 8, 2019 and is headquartered in Greenfield, WI. ",11.48,10.50 - 12.1477,https://www.wsj.com/market-data/quotes/BCOW/company-people
1847 Goedeker Inc.,US, NYSE American," 1847 Goedeker, Inc. operates as an online retailer. It provides home furnishings, including appliances, furniture, home goods, and related products. The company was founded in 1951 and is headquartered in Ballwin, MO. ",1.56,1.54 - 16.82,https://www.wsj.com/market-data/quotes/GOED/company-people
1844 Resources Inc.,Canada, TSX Venture," 1844 Resources, Inc. is an exploration company. It engages in the identification, exploration, and development of mineral properties. The firm's projects include Vortex, Davidson, Native Copper, Port Daniel, and Lac Arsenault. The company was founded on May 31, 2006 and is headquartered in Saskatoon, Canada. ",0.08,0.05 - 0.11,https://www.wsj.com/market-data/quotes/CA/XTSX/EFF/company-people
1834 Investments Ltd.,Jamaica Stock Exchange,," 1834 Investments Ltd. is an investment holding company, which engages in the management of real estate. The company was founded by Jacob and Joshua deCordova in 1834 and is headquartered in Kingston, Jamaica. ",0.87,0.66 - 1.14,https://www.wsj.com/market-data/quotes/JM/XJAM/1834/company-people
1812 Brewing Co. Inc.,US, OTC," 1812 Brewing Co., Inc. is a venture capital and investment company that engages in the provision of capital for growth, expansion and restructuring. It seeks investment opportunities in different industries, including retail, consumer products, restaurants, real estate, media, business services and manufacturing. The company was founded on June 12, 1989 and is headquartered in Watertown, NY. ",0.0029,0.0025 - 0.0348,https://www.wsj.com/market-data/quotes/KEGS/company-people
1847 Holdings LLC,US, OTC," 1847 Holdings LLC engages in the acquisition and management of small businesses in different industries. It operates through the following segments: Land Management Services and Retail and Appliances. The Land Management Services segment consists of an established business specializing in providing land application services and selling equipment and parts. The Retail and Appliances segment consists of retail store and e-commerce destination for home furnishings, including appliances, furniture, bath and fixtures, décor, lighting and home goods. The company was founded by Ellery W. Roberts on January 22, 2013 and is headquartered in New York, NY. ",1.68,1.23 - 3.95,https://www.wsj.com/market-data/quotes/EFSH/company-people
180 Life Sciences Corp. Wt,US, Nasdaq," 180 Life Sciences Corp. develops pharmaceuticals for chronic pain and inflammatory diseases. It operates as a clinical-stage biotechnology company focused on the development of novel drugs that fulfil unmet needs in inflammatory diseases, fibrosis and pain by leveraging the combined expertise of luminaries in therapeutics from Oxford University, the Hebrew University and Stanford University. The company was founded on September 7, 2016 and is headquartered in Palo Alto, CA. ",0.61,0.34 - 2.97,https://www.wsj.com/market-data/quotes/ATNFW/company-people
180 Life Sciences Corp.,US, Nasdaq," 180 Life Sciences Corp. develops pharmaceuticals for chronic pain and inflammatory diseases. It operates as a clinical-stage biotechnology company focused on the development of novel drugs that fulfil unmet needs in inflammatory diseases, fibrosis and pain by leveraging the combined expertise of luminaries in therapeutics from Oxford University, the Hebrew University and Stanford University. The company was founded on September 7, 2016 and is headquartered in Palo Alto, CA. ",2.99,2.25 - 13.0453,https://www.wsj.com/market-data/quotes/ATNF/company-people
1-800-FLOWERS.COM Inc. Cl A,US, Nasdaq," 1-800-FLOWERS.COM, Inc. retails floral products and gifts on-line. The company’s e-commerce business platform features an all-star family of brands, including 1-800-Flowers.com, 1-800-Baskets.com, Cheryl’s Cookies, Harry & David, PersonalizationMall.com, Shari’s Berries, FruitBouquets.com, Moose Munch, The Popcorn Factory, Wolferman’s Bakery, Stock Yards, and Simply Chocolate. The firm also operates BloomNet, an international floral and gift industry service provider offering a broad range of products and services designed to help members grow their businesses profitably, Napco, a resource for floral gifts and seasonal décor, and DesignPac Gifts LLC, a manufacturer of gift baskets and towers. The company was founded by James F. McCann in 1976 and is headquartered in Jericho, NY. ",13.995,13.16 - 38.66,https://www.wsj.com/market-data/quotes/FLWS/company-people
17 Education & Technology Group Inc. ADR,US, Nasdaq," 17 Education & Technology Group, Inc. provides education technology solutions. Its in-school plus after-school integrated model delivers data-driven teaching, learning and assessment products to teachers, students and parents. The firm offers online K-12 large-class after-school tutoring services that complement students' in-school learning. The company was founded by Jia Wei Gan and Bing Yuan on October 30, 2012 and is headquartered Beijing, China. ",2.20,0.8802 - 46.52,https://www.wsj.com/market-data/quotes/YQ/company-people
1369 Construction JSC,Hanoi Stock Exchange,," 1369 Construction JSC engages in the stone mining and construction industry. Its activities include building constructor; architectural and engineering consulting; mining, processing, and sale of minerals; goods transportation; and trading of construction and mining machineries. The company was founded on August 15, 2003 and is headquartered in Hai Duong, Vietnam. ","16,500","8,200 - 22,600",https://www.wsj.com/market-data/quotes/VN/HSTC/C69/company-people
1414 Degrees Ltd.,Australia, Sydney," 1414 Degrees Ltd. engages in the development, design, and manufacture of thermal energy storage systems. It offers Thermal Energy Storage System (TESS), which takes electricity from grid or renewables, and stores as latent heat in molten silicon. The company was founded on August 11, 2009 and is headquartered in Mitcham, Australia. ",0.10,0.088 - 0.23,https://www.wsj.com/market-data/quotes/AU/XASX/14D/company-people
180 Degree Capital Corp.,US, Nasdaq," 180 Degree Capital Corp. invests in companies located in the United states. The fund focuses on companies operating in the fields of interdisciplinary life sciences companies such as electronics, physics, materials science, chemistry, information technology, engineering and mathematics. It provides financing for seed, early and later stage capital requirements. It makes Co-Investments and takes board sit. ",6.72,6.6635 - 8.64,https://www.wsj.com/market-data/quotes/TURN/company-people
138 Student Living Jamaica Ltd.,Jamaica Stock Exchange,," 138 Student Living Jamaica Ltd. engages in the construction and lease of living facilities for students at the University of the West Indies, Mona Campus. The company was founded on August 15, 2014 and is headquartered in Kingston, Jamaica. ",5.25,3.11 - 9.50,https://www.wsj.com/market-data/quotes/JM/XJAM/138SL/company-people
1&1 AG,UK, London," 1&1 AG provides telecommunication services. Its services include postpaid and prepaid, as well as landline and DSL products and related applications such as home networking, online storage, telephony, video on demand, and other. The firm operates through the following brands: 1&1, yourfone, smartmobil.de, maXXim, simply, helloMobil, McSIM, Phonex, sim.de, eteleon, discoTEL, discoPLUS, discoSURF, DeutschlandSIM, winSIM, PremiumSIM, M2M-Mobil, and GTCom. It operates through the following segments: Access, 5G, and Miscellaneous. The Access segment consists of wireless access and landline products, including the related applications such as home networks, online storage, telephony, video on demand or IPTV. The 5G segment consists of expenses and income relating to the preparation and conduct of the 5G frequency auction. The Miscellaneous segment comprises essentially all the activities related to the offering of custom software solutions and of maintenance and support services. The company was founded in 1997 and is headquartered in Maintal, Germany. ",20.90,19.75 - 27.88,https://www.wsj.com/market-data/quotes/UK/XLON/0E6Y/company-people
1 Production Film Co.,Taipei Exchange,," 1 Production Film Co. engages in the production of movies and television shows. The company produced television programs such as I Won't Cry, I'm Here To Sing, See Heaven, and Precarious Bamboo. It also produced movies such as Letter To The Future and How are you? I'm Fine. The company was founded on August 9, 2007 and is headquartered in Taipei, Taiwan. ",25.65,20.36 - 35.66,https://www.wsj.com/market-data/quotes/TW/ROCO/8458/company-people
01 Communique Laboratory Inc.,US, OTC," 01 Communique Laboratory, Inc. develops and markets remote access solutions. It focuses on post-quantum cybersecurity with the development of its IronCAP technology. The firm's solutions consist of IronCAP, IronCAP X, I'm InTouch, and I'm OnCall product lines, which provide users with the ability to conduct online meetings. The company was founded on October 7, 1992 and is headquartered in Toronto, Canada. ",0.1826,0.146 - 0.349,https://www.wsj.com/market-data/quotes/OONEF/company-people
1000mercis,France, Euronext Paris," 1000mercis SA engages in the provision of interactive advertising and marketing solutions. It operates through the following segments: Interactive Advertising, Mobile Marketing and Interactive Marketing. The Interactive Advertising segment aims to accompany the advertisers in their strategy to acquire new clients and provide them a targeted audience for their advertisements. The Mobile Marketing segment includes mobile Internet, applications, and text message campaigns. The Interactive Marketing segment targets to accompany the firm's advertisers in their strategy in keeping their clients loyal and in the operation of database. The company was founded by Yseulys Costes and Thibaut Munier on February 23, 2000 and is headquartered in Paris, France. ",23.30,17.40 - 25.20,https://www.wsj.com/market-data/quotes/FR/XPAR/ALMIL/company-people
01Cyberaton Proenergy S.A.,Poland, Warsaw," 01Cyberaton Proenergy SA engages in the production of solar power installations. Its offer includes design, implementation, and servicing of photovoltaic powerplants. The company was founded on October 16, 2007 and is headquartered in Warsaw, Poland. ",3.88,2.82 - 8.40,https://www.wsj.com/market-data/quotes/PL/XWAR/01C/company-people
1&1 AG,Germany, Xetra ," 1&1 AG provides telecommunication services. Its services include postpaid and prepaid, as well as landline and DSL products and related applications such as home networking, online storage, telephony, video on demand, and other. The firm operates through the following brands: 1&1, yourfone, smartmobil.de, maXXim, simply, helloMobil, McSIM, Phonex, sim.de, eteleon, discoTEL, discoPLUS, discoSURF, DeutschlandSIM, winSIM, PremiumSIM, M2M-Mobil, and GTCom. It operates through the following segments: Access, 5G, and Miscellaneous. The Access segment consists of wireless access and landline products, including the related applications such as home networks, online storage, telephony, video on demand or IPTV. The 5G segment consists of expenses and income relating to the preparation and conduct of the 5G frequency auction. The Miscellaneous segment comprises essentially all the activities related to the offering of custom software solutions and of maintenance and support services. The company was founded in 1997 and is headquartered in Maintal, Germany. ",21.02,19.52 - 27.86,https://www.wsj.com/market-data/quotes/XE/XETR/1U1/company-people
